t,facet,outcome,Exposed,Unexposed,Historical
Time = 0,Overall,bmi,"29.4 (29, 29.9)","29.4 (29.2, 29.6)","29.1 (28.7, 29.5)"
BaselineDID = 0,Overall,bmi,"0 (0, 0)","-0.06 (-0.13, 0.01)","-0.29 (-0.37, -0.21)"
Time = 100,Overall,bmi,"0 (-0.03, 0.03)","-0.04 (-0.05, -0.03)","0.03 (0.01, 0.04)"
DID = 100,Overall,bmi,"0 (0, 0)","-0.03 (-0.07, 0)","0.03 (0, 0.06)"
Time = 0,Female,bmi,"29.9 (29.3, 30.4)","29.7 (29.4, 30)","29.5 (29, 29.9)"
BaselineDID = 0,Female,bmi,"0 (0, 0)","-0.16 (-0.25, -0.08)","-0.41 (-0.51, -0.31)"
Time = 100,Female,bmi,"-0.02 (-0.06, 0.01)","-0.03 (-0.05, -0.02)","0.05 (0.03, 0.07)"
DID = 100,Female,bmi,"0 (0, 0)","-0.01 (-0.05, 0.03)","0.07 (0.03, 0.11)"
Time = 0,Male,bmi,"29.6 (28.9, 30.3)","29.7 (29.4, 30)","29.6 (29, 30.1)"
BaselineDID = 0,Male,bmi,"0 (0, 0)","0.07 (-0.04, 0.18)","-0.08 (-0.21, 0.05)"
Time = 100,Male,bmi,"0.03 (-0.02, 0.07)","-0.05 (-0.07, -0.03)","0 (-0.02, 0.03)"
DID = 100,Male,bmi,"0 (0, 0)","-0.07 (-0.12, -0.02)","-0.03 (-0.08, 0.03)"
Time = 0,18 to 39,bmi,"29.6 (28.8, 30.5)","29.3 (28.8, 29.9)","29.3 (28.5, 30.1)"
BaselineDID = 0,18 to 39,bmi,"0 (0, 0)","-0.33 (-0.46, -0.21)","-0.33 (-0.48, -0.18)"
Time = 100,18 to 39,bmi,"0.06 (0.01, 0.11)","0.07 (0.05, 0.1)","0.09 (0.06, 0.12)"
DID = 100,18 to 39,bmi,"0 (0, 0)","0.01 (-0.04, 0.07)","0.04 (-0.02, 0.09)"
Time = 0,40 to 64,bmi,"29.8 (29, 30.7)","29.8 (29.4, 30.2)","29.5 (28.8, 30.2)"
BaselineDID = 0,40 to 64,bmi,"0 (0, 0)","-0.03 (-0.13, 0.07)","-0.31 (-0.43, -0.19)"
Time = 100,40 to 64,bmi,"-0.01 (-0.05, 0.04)","-0.05 (-0.06, -0.03)","0.02 (0, 0.04)"
DID = 100,40 to 64,bmi,"0 (0, 0)","-0.04 (-0.08, 0.01)","0.03 (-0.02, 0.08)"
Time = 0,65 plus,bmi,"29.8 (29.1, 30.4)","29.8 (29.5, 30.1)","29.6 (29.1, 30.1)"
BaselineDID = 0,65 plus,bmi,"0 (0, 0)","0.07 (-0.06, 0.19)","-0.15 (-0.3, 0)"
Time = 100,65 plus,bmi,"-0.05 (-0.1, 0)","-0.09 (-0.11, -0.08)","-0.01 (-0.04, 0.01)"
DID = 100,65 plus,bmi,"0 (0, 0)","-0.05 (-0.1, 0.01)","0.03 (-0.02, 0.09)"
Time = 0,Hispanic,bmi,"29.5 (29.1, 29.9)","29.4 (28.6, 30.3)","29.4 (29, 29.9)"
BaselineDID = 0,Hispanic,bmi,"0 (0, 0)","-0.01 (-0.15, 0.13)","-0.02 (-0.19, 0.15)"
Time = 100,Hispanic,bmi,"0.03 (-0.03, 0.08)","-0.02 (-0.05, 0.01)","-0.02 (-0.05, 0.02)"
DID = 100,Hispanic,bmi,"0 (0, 0)","-0.05 (-0.11, 0.01)","-0.04 (-0.11, 0.02)"
Time = 0,NH White,bmi,"29.5 (28.7, 30.2)","29.4 (29, 29.8)","29.1 (28.3, 30)"
BaselineDID = 0,NH White,bmi,"0 (0, 0)","-0.09 (-0.19, 0)","-0.33 (-0.44, -0.22)"
Time = 100,NH White,bmi,"-0.03 (-0.07, 0.01)","-0.05 (-0.06, -0.03)","0.04 (0.02, 0.06)"
DID = 100,NH White,bmi,"0 (0, 0)","-0.01 (-0.06, 0.03)","0.07 (0.03, 0.12)"
Time = 0,NH Black,bmi,"29.6 (28.9, 30.3)","29.5 (28.6, 30.3)","29.2 (28.5, 30)"
BaselineDID = 0,NH Black,bmi,"0 (0, 0)","-0.13 (-0.27, 0)","-0.39 (-0.55, -0.22)"
Time = 100,NH Black,bmi,"0.01 (-0.05, 0.07)","-0.03 (-0.06, -0.01)","0.05 (0.01, 0.08)"
DID = 100,NH Black,bmi,"0 (0, 0)","-0.04 (-0.1, 0.02)","0.04 (-0.03, 0.1)"
Time = 0,Not Hospitalized,bmi,"29.8 (29.4, 30.2)","29.8 (29.5, 30)","29.5 (29.2, 29.9)"
BaselineDID = 0,Not Hospitalized,bmi,"0 (0, 0)","-0.06 (-0.13, 0)","-0.3 (-0.37, -0.22)"
Time = 100,Not Hospitalized,bmi,"-0.01 (-0.03, 0.02)","-0.04 (-0.06, -0.03)","0.03 (0.01, 0.04)"
DID = 100,Not Hospitalized,bmi,"0 (0, 0)","-0.04 (-0.07, -0.01)","0.03 (0, 0.06)"
Time = 0,Hospitalized,bmi,"29.3 (28.3, 30.2)","29.2 (28.8, 29.6)","29.1 (27.7, 30.5)"
BaselineDID = 0,Hospitalized,bmi,"0 (0, 0)","-0.08 (-0.23, 0.07)","-0.15 (-0.41, 0.1)"
Time = 100,Hospitalized,bmi,"0.01 (-0.06, 0.07)","-0.02 (-0.04, 0)","0.05 (-0.02, 0.12)"
DID = 100,Hospitalized,bmi,"0 (0, 0)","-0.03 (-0.1, 0.04)","0.04 (-0.05, 0.14)"
