Estimate,SE,dfcom,LCI,UCI,term,exposure,modifier1,modifier2,exposure_value,modifier1_value,modifier2_value,outcome,modifier_var
0.08894888929132981,0.055042651601128346,1103853,-0.01893470784688174,0.19683248642954138,Contrast 2,COHORThistorical,sex_categoryMale,t,1,1,0,bmi,sex_category
0.07852944736989298,0.06652782710099792,1103853,-0.051865093748062946,0.2089239884878489,Contrast 2,COHORTexposed,sex_categoryMale,t,1,1,0,bmi,sex_category
0.1512290928698994,0.04738436422747638,1103853,0.058355738984045696,0.24410244675575313,Contrast 2,COHORTunexposed,sex_categoryMale,t,1,1,0,bmi,sex_category
0,0,1103853,0,0,Contrast 2,COHORThistorical,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.41173492888038865,0.05236774422253628,1103853,0.30909415020421754,0.5143757075565598,Contrast 2,COHORTexposed,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.2515561951002126,0.03851321944478951,1103853,0.17607028498842514,0.32704210521200006,Contrast 2,COHORTunexposed,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.04147403624956183,0.044757184833295716,1103853,-0.046250046023697776,0.12919811852282143,Contrast 2,COHORThistorical,sex_categoryMale,t,1,1,100,bmi,sex_category
0.1040634422143641,0.04824458191698611,1103853,0.009504061657071336,0.19862282277165688,Contrast 2,COHORTexposed,sex_categoryMale,t,1,1,100,bmi,sex_category
0.10317867368337033,0.037181598047737796,1103853,0.03030274150980425,0.1760546058569364,Contrast 2,COHORTunexposed,sex_categoryMale,t,1,1,100,bmi,sex_category
0.04812715000040369,0.009544761271109314,1103853,0.029419417909029435,0.06683488209177794,Contrast 2,COHORThistorical,sex_categoryFemale,t,1,1,100,bmi,sex_category
0.34033710188890764,0.04013668764548344,1103853,0.2616691941037601,0.4190050096740552,Contrast 2,COHORTexposed,sex_categoryFemale,t,1,1,100,bmi,sex_category
