term,estimate,std.error,statistic,p.value,model,outcome,modifier
(Intercept),3.1383878171955604,0.12446181784518938,635.829888267048,0,PCRSU402,BMI,sex
COHORTunexposed,0.2515561951002126,0.03851321944478951,42.66290125685993,6.503408922498011e-11,PCRSU402,BMI,sex
COHORTexposed,0.41173492888038865,0.05236774422253628,61.81696643390932,3.774758283725532e-15,PCRSU402,BMI,sex
sex_categoryMale,0.08894888929132981,0.055042651601128346,2.6114539039935756,0.1060944534094419,PCRSU402,BMI,sex
t,4.812715000040369e-4,9.544761271109315e-5,25.424366925135605,4.600701200008217e-7,PCRSU402,BMI,sex
lb_bmi,0.9154684318175943,0.001706736773480797,287709.13697691204,0,PCRSU402,BMI,sex
age,-0.013018476618934871,5.716191003800022e-4,518.6888002952636,0,PCRSU402,BMI,sex
antihypertensives,0.12701895994445964,0.019643566655091583,41.81156418408941,1.0050715815168587e-10,PCRSU402,BMI,sex
nhblack,0.1761309450325271,0.02360007105347974,55.69865519936727,8.448797217397441e-14,PCRSU402,BMI,sex
hispanic,0.1297408881075334,0.027533090619004077,22.204643485904697,2.450803491149678e-6,PCRSU402,BMI,sex
smoking,0.015270497766793938,0.032203209936730995,0.2248578537961621,0.6353631473405882,PCRSU402,BMI,sex
siteSource2,-0.142869399185173,0.036447125728910026,15.365682915065332,8.85825815377661e-5,PCRSU402,BMI,sex
siteSource3,0.14267905813469706,0.04864738491092335,8.60204022259634,0.00335786624582457,PCRSU402,BMI,sex
siteSource4,0.20337023345299957,0.056100709917112676,13.141291845389102,2.8885862673477813e-4,PCRSU402,BMI,sex
siteSource5,-0.37986731744614416,0.04512565382203818,70.8625611725804,0,PCRSU402,BMI,sex
siteSource6,-0.27052848492284276,0.1431949639152805,3.5691969391069733,0.05886077029600767,PCRSU402,BMI,sex
siteSource7,0.03406717868830639,0.06984897328607259,0.2378769072443293,0.625743746900798,PCRSU402,BMI,sex
hospitalization,-0.5563739123794167,0.02508583701337363,491.8994354303561,0,PCRSU402,BMI,sex
hba1c,-0.010878060201114793,0.013080672557306931,0.6915805446229556,0.4056272986679159,PCRSU402,BMI,sex
serum_creatinine,-0.057866671644870464,0.00962077246338684,36.17738069900852,1.8014943981015108e-9,PCRSU402,BMI,sex
hdl,-0.0015952958872526314,0.00106562523953231,2.2411632610093397,0.1343798522999462,PCRSU402,BMI,sex
ldl,-3.989060778395111e-4,4.049765754799726e-4,0.9702451925167199,0.32461903621099264,PCRSU402,BMI,sex
COHORTunexposed:sex_categoryMale,-0.10032710223031319,0.060347047994726635,2.7639136848747476,0.09641211538767025,PCRSU402,BMI,sex
COHORTexposed:sex_categoryMale,-0.33320548151049567,0.08423161702231195,15.648546274316953,7.627118830588753e-5,PCRSU402,BMI,sex
COHORTunexposed:t,-8.003941838994134e-4,1.2285176256168615e-4,42.44681073935031,7.263079027097774e-11,PCRSU402,BMI,sex
COHORTexposed:t,-7.139782699148103e-4,2.0143027871825567e-4,12.563784568397798,3.9329445417668474e-4,PCRSU402,BMI,sex
sex_categoryMale:t,-4.747485304176798e-4,1.6011386643801636e-4,8.791629307068797,0.003026158550426983,PCRSU402,BMI,sex
COHORTunexposed:sex_categoryMale:t,3.198899920341227e-4,2.0122470783405548e-4,2.527194660038457,0.11189899866106046,PCRSU402,BMI,sex
COHORTexposed:sex_categoryMale:t,9.693182183595216e-4,3.396713242669653e-4,8.14357277805824,0.004321405429291381,PCRSU402,BMI,sex
(Intercept),3.0482437867662706,0.12730508953239408,573.3342164889939,0,PCRSU402,BMI,age
COHORTunexposed,-0.0052271123991283865,0.05971074564751184,0.007663350487016162,0.9302418431196446,PCRSU402,BMI,age
COHORTexposed,0.32918585240933457,0.07671946336937177,18.41073857614852,1.780517222382816e-5,PCRSU402,BMI,age
age_category40 to 64,0.2152297373943075,0.0720068130997794,8.934234989959698,0.002798746647515782,PCRSU402,BMI,age
age_category65 plus,0.2848194320480574,0.08700797426707339,10.71571408332622,0.001062294524519669,PCRSU402,BMI,age
t,9.329273909839182e-4,1.5212184216526636e-4,37.610797000066476,8.636510395731989e-10,PCRSU402,BMI,age
lb_bmi,0.9161678022609511,0.0016686942322014582,301436.97310573084,0,PCRSU402,BMI,age
age,-0.014439270710042359,0.0012442481354959683,134.671755126354,0,PCRSU402,BMI,age
antihypertensives,0.10018113232738822,0.019053139397147766,27.646412427626483,1.456419315148949e-7,PCRSU402,BMI,age
nhblack,0.15469002080365735,0.02285727723723537,45.80106787465395,1.3089196393423208e-11,PCRSU402,BMI,age
hispanic,0.12349696300716079,0.026249730831840123,22.134149885284902,2.542464396904087e-6,PCRSU402,BMI,age
