term,estimate,std.error,statistic,p.value,model,outcome
(Intercept),2.782375214190628,0.09660745894856887,829.4879352602209,0,PCRAB401,BMI
COHORTunexposed,0.20531170024617904,0.027708956953960407,54.901858116417586,1.2667644710973036e-13,PCRAB401,BMI
COHORTexposed,0.27286861659085054,0.035650668043770116,58.58303043279735,1.9539925233402755e-14,PCRAB401,BMI
t,2.944061255748508e-4,7.47909244558361e-5,15.49515343792928,8.271706856621819e-5,PCRAB401,BMI
lb_bmi,0.9140070321696366,0.0013142299325139759,483678.03511321126,0,PCRAB401,BMI
age,-0.009971704996690228,4.3248964148162724e-4,531.6030002194324,0,PCRAB401,BMI
antihypertensives,0.13896169463246763,0.015041733387669247,85.3482125554679,0,PCRAB401,BMI
nhblack,0.13809291135152085,0.018872994644202765,53.53787608401225,2.5368596112684827e-13,PCRAB401,BMI
hispanic,0.09722092837599806,0.019474002526032836,24.923503079693386,5.965075111635798e-7,PCRAB401,BMI
smoking,0.017729421931636746,0.02234153627148791,0.6297426174036072,0.4274497392290437,PCRAB401,BMI
siteSource2,-0.08987010596602293,0.02561777924794228,12.306868201952506,4.51294561686133e-4,PCRAB401,BMI
siteSource3,0.23219026578509422,0.03518310826718417,43.5531536916314,4.125988439795947e-11,PCRAB401,BMI
siteSource4,0.3514960281019199,0.040043971358607135,77.04892071313232,0,PCRAB401,BMI
siteSource5,-0.07552272893793671,0.03508906814918323,4.632460009434375,0.03137255045976006,PCRAB401,BMI
siteSource6,-0.11101353666166372,0.12033448170264978,0.8510825648482447,0.3562462657435487,PCRAB401,BMI
siteSource7,0.2174538048297223,0.05324225323438972,16.68096490177785,4.4222508311597686e-5,PCRAB401,BMI
hospitalization,-0.6510422173817673,0.017690178052124805,1354.4216746247023,0,PCRAB401,BMI
hba1c,0.0060661449854300005,0.010594293162156472,0.3278548399085286,0.5669249746027882,PCRAB401,BMI
serum_creatinine,-0.05110958503894256,0.0074678069345757376,46.84017906191925,7.701839166429636e-12,PCRAB401,BMI
hdl,-8.384357153801781e-4,7.117207535329522e-4,1.3877788999995317,0.23878054859729225,PCRAB401,BMI
ldl,4.3070383677764256e-4,3.199114650480067e-4,1.8125828715544439,0.17819870051463793,PCRAB401,BMI
percent_test_results_reported_positive_last_7_days,-0.001122257113840851,5.271177351818242e-4,4.532830474090601,0.033250579039182826,PCRAB401,BMI
Cases_per_100k_7_day_count_sum,2.875694079922678e-6,2.8871191840325222e-6,0.9921011241420481,0.3192293830755062,PCRAB401,BMI
COHORTunexposed:t,-6.36704044476606e-4,9.612993979424472e-5,43.86901432937283,3.5110359064560726e-11,PCRAB401,BMI
COHORTexposed:t,-2.837089456406178e-4,1.5906313461469887e-4,3.181317292079338,0.0744846591596382,PCRAB401,BMI
