Estimate,SE,dfcom,LCI,UCI,term,exposure,modifier1,modifier2,exposure_value,modifier1_value,modifier2_value,outcome,modifier_var
0.050182721052445346,0.051074177527270906,1230600,-0.04992266690100563,0.15028810900589631,Contrast 2,COHORThistorical,sex_categoryMale,t,1,1,0,bmi,sex_category
0.08933274508312555,0.057573840513259915,1230600,-0.023511982322863875,0.202177472489115,Contrast 2,COHORTexposed,sex_categoryMale,t,1,1,0,bmi,sex_category
0.15746110868358043,0.04348685802483637,1230600,0.07222686695490114,0.2426953504122597,Contrast 2,COHORTunexposed,sex_categoryMale,t,1,1,0,bmi,sex_category
0,0,1230600,0,0,Contrast 2,COHORThistorical,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.3647830807408553,0.045164434060534324,1230600,0.27626078998220804,0.45330537149950256,Contrast 2,COHORTexposed,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.20079170626602602,0.03511612734448872,1230600,0.13196409667082815,0.2696193158612239,Contrast 2,COHORTunexposed,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.003870050405790297,0.04098549644866518,1230600,-0.07646152263359346,0.08420162344517404,Contrast 2,COHORThistorical,sex_categoryMale,t,1,1,100,bmi,sex_category
0.11657194140116893,0.0410174392853718,1230600,0.0361777604018402,0.19696612240049766,Contrast 2,COHORTexposed,sex_categoryMale,t,1,1,100,bmi,sex_category
0.1114140627154197,0.0339719716927241,1230600,0.04482899819768048,0.17799912723315892,Contrast 2,COHORTunexposed,sex_categoryMale,t,1,1,100,bmi,sex_category
0.04773607992320122,0.009387706260971166,1230600,0.029336175651697733,0.0661359841947047,Contrast 2,COHORThistorical,sex_categoryFemale,t,1,1,100,bmi,sex_category
0.29819481998446085,0.034064425601923326,1230600,0.23142854580469113,0.36496109416423056,Contrast 2,COHORTexposed,sex_categoryFemale,t,1,1,100,bmi,sex_category
0.12397624959918488,0.028457257608334716,1230600,0.06820002468684884,0.17975247451152093,Contrast 2,COHORTunexposed,sex_categoryFemale,t,1,1,100,bmi,sex_category
0,0,1230594,0,0,Contrast 2,COHORThistorical,age_category18 to 39,t,1,1,0,bmi,age_category
0.3034628379026899,0.06464332715575281,1230594,0.1767619166774144,0.43016375912796545,Contrast 2,COHORTexposed,age_category18 to 39,t,1,1,0,bmi,age_category
-0.020211280515272788,0.052744172406735325,1230594,-0.12358985843247403,0.08316729740192844,Contrast 2,COHORTunexposed,age_category18 to 39,t,1,1,0,bmi,age_category
0.21501899577632722,0.06500498836095947,1230594,0.08760921858884665,0.3424287729638078,Contrast 2,COHORThistorical,age_category40 to 64,t,1,1,0,bmi,age_category
0.30702173719531783,0.054476649951716125,1230594,0.20024750328995422,0.41379597110068145,Contrast 2,COHORTexposed,age_category40 to 64,t,1,1,0,bmi,age_category
0.26516596060214676,0.04174273831413963,1230594,0.18335019350643306,0.34698172769786045,Contrast 2,COHORTunexposed,age_category40 to 64,t,1,1,0,bmi,age_category
0.2526600928226387,0.07763943787506776,1230594,0.10048679458750587,0.4048333910577715,Contrast 2,COHORThistorical,age_category65 plus,t,1,1,0,bmi,age_category
0.09760888911963553,0.06436356755345597,1230594,-0.028543703285138167,0.22376148152440922,Contrast 2,COHORTexposed,age_category65 plus,t,1,1,0,bmi,age_category
0.18261752010227741,0.04695034648629995,1230594,0.09059484098912951,0.2746401992154253,Contrast 2,COHORTunexposed,age_category65 plus,t,1,1,0,bmi,age_category
