Estimate,SE,dfcom,LCI,UCI,term,exposure,modifier,exposure_value,modifier_value,outcome
0,0,1376090,0,0,Contrast 2,COHORThistorical,t,1,0,bmi
0.48485952187033676,0.04992018129721592,1376090,0.3870159665277936,0.58270307721288,Contrast 2,COHORTexposed,t,1,0,bmi
-0.0644467036763526,0.03768605503698694,1376090,-0.13831137154884698,0.009417964196141784,Contrast 2,COHORTunexposed,t,1,0,bmi
0.006754572193962994,0.006447595355136047,1376090,-0.005882714702103657,0.019391859090029644,Contrast 2,COHORThistorical,t,1,100,bmi
0.4696297800448655,0.04418248626909682,1376090,0.3830321069574357,0.5562274531322953,Contrast 2,COHORTexposed,t,1,100,bmi
-0.11313829700090333,0.0343678524343468,1376090,-0.18049928777222307,-0.045777306229583606,Contrast 2,COHORTunexposed,t,1,100,bmi
0,0,1850213,0,0,Contrast 2,COHORThistorical,t,1,0,sbp
1.511280447355351,0.18816096485724437,1850213,1.142484956235152,1.8800759384755499,Contrast 2,COHORTexposed,t,1,0,sbp
0.7668253463095049,0.14587982637073324,1850213,0.4809008866228678,1.0527498059961422,Contrast 2,COHORTunexposed,t,1,0,sbp
0.414355191440107,0.03283719515219034,1850213,0.34999428894181395,0.4787160939384001,Contrast 2,COHORThistorical,t,1,100,sbp
1.515327855109862,0.15108874068374573,1850213,1.2191939233697202,1.8114617868500036,Contrast 2,COHORTexposed,t,1,100,sbp
0.49598606201512235,0.11884744809100206,1850213,0.2630450637567583,0.7289270602734864,Contrast 2,COHORTunexposed,t,1,100,sbp
0,0,117801,0,0,Contrast 2,COHORThistorical,t,1,0,ldl
-2.3849994738111238,1.8696880083567897,117801,-6.049587970190432,1.2795890225681839,Contrast 2,COHORTexposed,t,1,0,ldl
-11.685231997908641,1.3618089035572625,117801,-14.354377448880875,-9.016086546936407,Contrast 2,COHORTunexposed,t,1,0,ldl
-1.2331528093659208,0.32085428701044516,117801,-1.8620272119063932,-0.6042784068254482,Contrast 2,COHORThistorical,t,1,100,ldl
-4.666034562268373,1.1287420308989882,117801,-6.87836894283039,-2.453700181706356,Contrast 2,COHORTexposed,t,1,100,ldl
-13.211397329611383,0.927059417892487,117801,-15.028433788680658,-11.394360870542108,Contrast 2,COHORTunexposed,t,1,100,ldl
