term,estimate,std.error,statistic,p.value,model,outcome
(Intercept),29.933812194852862,0.04354520360722265,472545.25652999064,0,PCRA301,BMI
COHORThistorical,-1.0350968275828305,0.05782269040563238,320.4537552815403,0,PCRA301,BMI
COHORTunexposed,-1.056994800422294,0.048673016626671374,471.5949814325422,0,PCRA301,BMI
t,-1.0837422319472444e-4,1.3034788060859118e-4,0.6912641699172978,0.4057347222569515,PCRA301,BMI
COHORThistorical:t,1.7571364501379395e-4,1.455198772189428e-4,1.4580295853913863,0.2272438946868498,PCRA301,BMI
COHORTunexposed:t,-3.514454021076765e-4,1.431912824042818e-4,6.023966868614358,0.014112890332685701,PCRA301,BMI
(Intercept),124.12213680961362,0.2918274785248507,180903.14685745115,0,PCRA301,SBP
COHORThistorical,-1.8586200514378182,0.36628779209196993,25.74757592497098,3.8911544297803857e-7,PCRA301,SBP
COHORTunexposed,-0.3696527235504549,0.32267036672255056,1.3124103763539854,0.2519587069298831,PCRA301,SBP
t,0.0043688305450624325,0.0010152543134832508,18.517430068773084,1.6835759919731075e-5,PCRA301,SBP
COHORThistorical:t,-3.744253626920644e-4,0.0011308654787455716,0.10962475219208996,0.740571755107808,PCRA301,SBP
COHORTunexposed:t,-0.003305404582352843,0.0011556392551579776,8.180967705481608,0.004233217128671418,PCRA301,SBP
(Intercept),76.73654008020819,11.312349381138864,46.01493445917403,1.1735501459497755e-11,PCRA301,LDL
COHORThistorical,6.01757117945661,16.094444285074932,0.13979463372946435,0.70848525953475,PCRA301,LDL
COHORTunexposed,-9.6236374319382,233.87517734803558,0.0016932077426884639,0.9671774257286014,PCRA301,LDL
t,-0.010106084518553833,0.040973957327448955,0.0608345122463209,0.8051817886974497,PCRA301,LDL
COHORThistorical:t,0.004855568896298013,0.05771297664191927,0.007078370530408708,0.9329506456650758,PCRA301,LDL
COHORTunexposed:t,0.016918489537443,1.1314568426910565,2.2358732896055815e-4,0.9880698069362406,PCRA301,LDL
