iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,Coefficient,lci,uci,exposure,modifier2,exposure_value,modifier2_value,outcome,modifier1,modifier1_value,modifier_var
Contrast 3,3.3854837866270694e-6,0.00123229299949571,-0.2643645555760823,1230607,0.0012363555800396625,0.0032859321456875333,15210.55012181688,370461.2683229067,284525.3819305599,-0.3332807371518471,-0.1954483740003175,0.03516184835926096,"-0.26 	(-0.33, -0.20)",-0.3332807371518471,-0.1954483740003175,COHORThistorical,t,1,0,bmi,NA,NA,NA
Contrast 3,0,0,0,1230607,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,NA,NA,NA
Contrast 3,2.4350237775725817e-6,7.733213965591504e-4,-0.05934562532469845,1230607,7.762434250922375e-4,0.0037643198494594484,11633.972883966006,282284.4504198758,229452.26876897406,-0.11395270109171178,-0.004738549557685122,0.02786114543754864,"-0.06 	(-0.11, -0.00)",-0.11395270109171178,-0.004738549557685122,COHORTunexposed,t,1,0,bmi,NA,NA,NA
Contrast 3,3.3854837866270694e-6,0.00123229299949571,-0.2643645555760823,1230607,0.0012363555800396625,0.0032859321456875333,15210.55012181688,370461.2683229067,284525.3819305599,-0.3332807371518471,-0.1954483740003175,0.03516184835926096,"-0.26 	(-0.33, -0.20)",-0.3332807371518471,-0.1954483740003175,COHORThistorical,t,1,100,bmi,NA,NA,NA
Contrast 3,0,0,0,1230607,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,NA,NA,NA
Contrast 3,2.4350237775725817e-6,7.733213965591504e-4,-0.05934562532469845,1230607,7.762434250922375e-4,0.0037643198494594484,11633.972883966006,282284.4504198758,229452.26876897406,-0.11395270109171178,-0.004738549557685122,0.02786114543754864,"-0.06 	(-0.11, -0.00)",-0.11395270109171178,-0.004738549557685122,COHORTunexposed,t,1,100,bmi,NA,NA,NA
Contrast 3,3.892050701054402e-6,0.003263600005576589,-0.08967347107382131,1230601,0.003268270466417854,0.0014290313146525723,79247.81891995027,1958738.6816918852,755111.3889712928,-0.20172230831811114,0.022375366170468494,0.05716878926842735,"-0.09 	(-0.20, 0.02)",-0.20172230831811114,0.022375366170468494,COHORThistorical,t,1,0,bmi,sex_categoryMale,1,sex_category
Contrast 3,0,0,0,1230601,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,sex_categoryMale,1,sex_category
Contrast 3,7.29409247838261e-6,0.0020154324850092825,0.07847594613888169,1230601,0.0020241853959833416,0.0043241646696136745,8855.45275985749,213922.04577722645,182124.76245499242,-0.009705190367968755,0.16665708264573212,0.04499094793381599,"0.08 	(-0.01, 0.17)",-0.009705190367968755,0.16665708264573212,COHORTunexposed,t,1,0,bmi,sex_categoryMale,1,sex_category
Contrast 3,8.840005839592095e-6,0.0019706384914700407,-0.3586286451966594,1230601,0.001981246498477551,0.005354208583163186,5822.847732779084,139530.58641241209,125252.47611750315,-0.44586974148201386,-0.27138754891130495,0.04451119520387597,"-0.36 	(-0.45, -0.27)",-0.44586974148201386,-0.27138754891130495,COHORThistorical,t,1,0,bmi,sex_categoryFemale,1,sex_category
Contrast 3,0,0,0,1230601,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,sex_categoryFemale,1,sex_category
Contrast 3,4.759985016177146e-6,0.0011905553724818774,-0.15281299969594037,1230601,0.00119626735450129,0.004774837328728939,7288.461606365237,175445.74116642727,153461.8150790219,-0.22060293395715724,-0.0850230654347235,0.03458709809309376,"-0.15 	(-0.22, -0.09)",-0.22060293395715724,-0.0850230654347235,COHORTunexposed,t,1,0,bmi,sex_categoryFemale,1,sex_category
Contrast 3,3.892050701054402e-6,0.003263600005576589,-0.08967347107382131,1230601,0.003268270466417854,0.0014290313146525723,79247.81891995027,1958738.6816918852,755111.3889712928,-0.20172230831811114,0.022375366170468494,0.05716878926842735,"-0.09 	(-0.20, 0.02)",-0.20172230831811114,0.022375366170468494,COHORThistorical,t,1,100,bmi,sex_categoryMale,1,sex_category
Contrast 3,0,0,0,1230601,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,sex_categoryMale,1,sex_category
Contrast 3,7.29409247838261e-6,0.0020154324850092825,0.07847594613888169,1230601,0.0020241853959833416,0.0043241646696136745,8855.45275985749,213922.04577722645,182124.76245499242,-0.009705190367968755,0.16665708264573212,0.04499094793381599,"0.08 	(-0.01, 0.17)",-0.009705190367968755,0.16665708264573212,COHORTunexposed,t,1,100,bmi,sex_categoryMale,1,sex_category
Contrast 3,8.840005839592095e-6,0.0019706384914700407,-0.3586286451966594,1230601,0.001981246498477551,0.005354208583163186,5822.847732779084,139530.58641241209,125252.47611750315,-0.44586974148201386,-0.27138754891130495,0.04451119520387597,"-0.36 	(-0.45, -0.27)",-0.44586974148201386,-0.27138754891130495,COHORThistorical,t,1,100,bmi,sex_categoryFemale,1,sex_category
Contrast 3,0,0,0,1230601,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,sex_categoryFemale,1,sex_category
Contrast 3,4.759985016177146e-6,0.0011905553724818774,-0.15281299969594037,1230601,0.00119626735450129,0.004774837328728939,7288.461606365237,175445.74116642727,153461.8150790219,-0.22060293395715724,-0.0850230654347235,0.03458709809309376,"-0.15 	(-0.22, -0.09)",-0.22060293395715724,-0.0850230654347235,COHORTunexposed,t,1,100,bmi,sex_categoryFemale,1,sex_category
Contrast 3,3.122135171921922e-6,0.0041271685169581756,-0.296297127963502,1230595,0.004130915079164482,9.069569658314265e-4,195925.97219050617,4862802.484071529,981357.3814260346,-0.42226834716829686,-0.17032590875870718,0.0642721952259644,"-0.30 	(-0.42, -0.17)",-0.42226834716829686,-0.17032590875870718,COHORThistorical,t,1,0,bmi,age_category18 to 39,1,age_category
Contrast 3,0,0,0,1230595,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,age_category18 to 39,1,age_category
Contrast 3,9.195191940166397e-6,0.002531878277661014,-0.31277964660355545,1230595,0.0025429125079892137,0.00433920958488851,8795.19242454703,212441.19563507655,181049.7804850562,-0.41161590004957926,-0.2139433931575317,0.05042729923354228,"-0.31 	(-0.41, -0.21)",-0.41161590004957926,-0.2139433931575317,COHORTunexposed,t,1,0,bmi,age_category18 to 39,1,age_category
Contrast 3,6.8017001737541585e-6,0.002882505391970876,-0.2999992174143748,1230595,0.002890667432179381,0.002823583272722358,20524.56347253114,501716.9696677207,356116.1021820632,-0.40537679321988873,-0.19462164160886086,0.05376492752882106,"-0.30 	(-0.41, -0.19)",-0.40537679321988873,-0.19462164160886086,COHORThistorical,t,1,0,bmi,age_category40 to 64,1,age_category
Contrast 3,0,0,0,1230595,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,age_category40 to 64,1,age_category
Contrast 3,1.2572848641605246e-6,0.0017706439715694823,-0.029516297400825887,1230595,0.0017721527134064749,8.513610737826817e-4,222251.81187810397,5518644.424607332,1005517.5812264987,-0.1120248100445534,0.05299221524290161,0.042096944228844864,"-0.03 	(-0.11, 0.05)",-0.1120248100445534,0.05299221524290161,COHORTunexposed,t,1,0,bmi,age_category40 to 64,1,age_category
Contrast 3,1.6032640161914328e-5,0.004102481095560578,-0.08827085165126225,1230595,0.004121720263754875,0.004667752046028074,7620.304381790174,183588.06115991037,159657.57850329264,-0.21410259422729733,0.03756089092477283,0.06420062510408193,"-0.09 	(-0.21, 0.04)",-0.21410259422729733,0.03756089092477283,COHORThistorical,t,1,0,bmi,age_category65 plus,1,age_category
Contrast 3,0,0,0,1230595,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,age_category65 plus,1,age_category
Contrast 3,4.3293570707580825e-6,0.002529452151429357,0.10164261925274115,1230595,0.002534647379914267,0.002049684909261589,38711.32849875218,952107.0567392061,536311.6674459373,0.0029675550743501894,0.2003176834311321,0.05034528160527327,"0.10 	(0.00, 0.20)",0.0029675550743501894,0.2003176834311321,COHORTunexposed,t,1,0,bmi,age_category65 plus,1,age_category
Contrast 3,3.122135171921922e-6,0.0041271685169581756,-0.296297127963502,1230595,0.004130915079164482,9.069569658314265e-4,195925.97219050617,4862802.484071529,981357.3814260346,-0.42226834716829686,-0.17032590875870718,0.0642721952259644,"-0.30 	(-0.42, -0.17)",-0.42226834716829686,-0.17032590875870718,COHORThistorical,t,1,100,bmi,age_category18 to 39,1,age_category
Contrast 3,0,0,0,1230595,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,age_category18 to 39,1,age_category
Contrast 3,9.195191940166397e-6,0.002531878277661014,-0.31277964660355545,1230595,0.0025429125079892137,0.00433920958488851,8795.19242454703,212441.19563507655,181049.7804850562,-0.41161590004957926,-0.2139433931575317,0.05042729923354228,"-0.31 	(-0.41, -0.21)",-0.41161590004957926,-0.2139433931575317,COHORTunexposed,t,1,100,bmi,age_category18 to 39,1,age_category
Contrast 3,6.8017001737541585e-6,0.002882505391970876,-0.2999992174143748,1230595,0.002890667432179381,0.002823583272722358,20524.56347253114,501716.9696677207,356116.1021820632,-0.40537679321988873,-0.19462164160886086,0.05376492752882106,"-0.30 	(-0.41, -0.19)",-0.40537679321988873,-0.19462164160886086,COHORThistorical,t,1,100,bmi,age_category40 to 64,1,age_category
Contrast 3,0,0,0,1230595,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,age_category40 to 64,1,age_category
Contrast 3,1.2572848641605246e-6,0.0017706439715694823,-0.029516297400825887,1230595,0.0017721527134064749,8.513610737826817e-4,222251.81187810397,5518644.424607332,1005517.5812264987,-0.1120248100445534,0.05299221524290161,0.042096944228844864,"-0.03 	(-0.11, 0.05)",-0.1120248100445534,0.05299221524290161,COHORTunexposed,t,1,100,bmi,age_category40 to 64,1,age_category
Contrast 3,1.6032640161914328e-5,0.004102481095560578,-0.08827085165126225,1230595,0.004121720263754875,0.004667752046028074,7620.304381790174,183588.06115991037,159657.57850329264,-0.21410259422729733,0.03756089092477283,0.06420062510408193,"-0.09 	(-0.21, 0.04)",-0.21410259422729733,0.03756089092477283,COHORThistorical,t,1,100,bmi,age_category65 plus,1,age_category
Contrast 3,0,0,0,1230595,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,100,bmi,age_category65 plus,1,age_category
Contrast 3,4.3293570707580825e-6,0.002529452151429357,0.10164261925274115,1230595,0.002534647379914267,0.002049684909261589,38711.32849875218,952107.0567392061,536311.6674459373,0.0029675550743501894,0.2003176834311321,0.05034528160527327,"0.10 	(0.00, 0.20)",0.0029675550743501894,0.2003176834311321,COHORTunexposed,t,1,100,bmi,age_category65 plus,1,age_category
Contrast 3,1.5201375401868429e-5,0.005461322381683217,-0.015914204674087794,1177645,0.00547956403216546,0.003329033181319213,14824.281348864164,360930.63328667695,276044.4060333746,-0.16099921686647015,0.12917080751829452,0.07402407738138625,"-0.02 	(-0.16, 0.13)",-0.16099921686647015,0.12917080751829452,COHORThistorical,t,1,0,bmi,raceeth_categoryHispanic,1,raceeth_category
Contrast 3,0,0,0,1177645,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,raceeth_categoryHispanic,1,raceeth_category
Contrast 3,4.909977426642201e-6,0.0031501768550813154,-0.05650710351713294,1177645,0.003156068827993286,0.0018668708551951693,46596.52256246672,1147708.0819144833,580705.3565075549,-0.16661584072552255,0.05360163369125666,0.056178900202774405,"-0.06 	(-0.17, 0.05)",-0.16661584072552255,0.05360163369125666,COHORTunexposed,t,1,0,bmi,raceeth_categoryHispanic,1,raceeth_category
Contrast 3,1.534692781274626e-6,0.0023341201868441156,-0.3203734023911174,1177645,0.002335961818181645,7.88382465498991e-4,259048.3801490021,6435556.067251798,994816.5185476079,-0.41510198575767565,-0.22564481902455913,0.04833178889904288,"-0.32 	(-0.42, -0.23)",-0.41510198575767565,-0.22564481902455913,COHORThistorical,t,1,0,bmi,raceeth_categoryNH White,1,raceeth_category
Contrast 3,0,0,0,1177645,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,raceeth_categoryNH White,1,raceeth_category
Contrast 3,2.04588471958228e-6,0.0014518157403583232,-0.07292434225467977,1177645,0.001454270802021822,0.0016881736607002968,56902.49954998738,1403543.092900939,639765.6733313695,-0.14766744250710584,0.0018187579977463203,0.03813490267487019,"-0.07 	(-0.15, 0.00)",-0.14766744250710584,0.0018187579977463203,COHORTunexposed,t,1,0,bmi,raceeth_categoryNH White,1,raceeth_category
Contrast 3,9.600328429924073e-6,0.005646391916340855,-0.3330438492588038,1177645,0.005657912310456765,0.0020361563565800198,39223.235194595414,964800.9944435187,529837.9596789688,-0.48047075211241763,-0.18561694640519003,0.07521909538446181,"-0.33 	(-0.48, -0.19)",-0.48047075211241763,-0.18561694640519003,COHORThistorical,t,1,0,bmi,raceeth_categoryNH Black,1,raceeth_category
