Estimate,SE,dfcom,LCI,UCI,term,exposure,modifier1,modifier2,exposure_value,modifier1_value,modifier2_value,outcome,modifier_var
0.049598275381352794,0.051076583721415124,1230590,-0.050511828712620846,0.14970837947532645,Contrast 2,COHORThistorical,sex_categoryMale,t,1,1,0,bmi,sex_category
0.08692013677587229,0.05717965912109769,1230590,-0.02515199510147917,0.19899226865322375,Contrast 2,COHORTexposed,sex_categoryMale,t,1,1,0,bmi,sex_category
0.15860508509132415,0.0432014262031169,1230590,0.07393028973321503,0.24327988044943327,Contrast 2,COHORTunexposed,sex_categoryMale,t,1,1,0,bmi,sex_category
0,0,1230590,0,0,Contrast 2,COHORThistorical,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.3608625173364326,0.0444755670472298,1230590,0.2736904059238622,0.448034628749003,Contrast 2,COHORTexposed,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.20000575459614933,0.03488948376932553,1230590,0.1316223664082713,0.26838914278402737,Contrast 2,COHORTunexposed,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.0030731688115919684,0.04098729712541681,1230590,-0.07726193355422498,0.0834082711774089,Contrast 2,COHORThistorical,sex_categoryMale,t,1,1,100,bmi,sex_category
0.11266701866376647,0.04054876506024325,1230590,0.0331914391456897,0.19214259818184323,Contrast 2,COHORTexposed,sex_categoryMale,t,1,1,100,bmi,sex_category
0.11129315045309976,0.03355301883920011,1230590,0.04552923352826754,0.17705706737793198,Contrast 2,COHORTunexposed,sex_categoryMale,t,1,1,100,bmi,sex_category
0.04845533799253455,0.00940122828858087,1230590,0.030028930546916043,0.06688174543815306,Contrast 2,COHORThistorical,sex_categoryFemale,t,1,1,100,bmi,sex_category
0.29282806944756723,0.0334564347455995,1230590,0.22725345734619223,0.3584026815489422,Contrast 2,COHORTexposed,sex_categoryFemale,t,1,1,100,bmi,sex_category
0.12193048223672631,0.02802157782391473,1230590,0.06700818970185343,0.1768527747715992,Contrast 2,COHORTunexposed,sex_categoryFemale,t,1,1,100,bmi,sex_category
0,0,1230584,0,0,Contrast 2,COHORThistorical,age_category18 to 39,t,1,1,0,bmi,age_category
0.29964179368331384,0.06427840584302252,1230584,0.1736561182309897,0.425627469135638,Contrast 2,COHORTexposed,age_category18 to 39,t,1,1,0,bmi,age_category
-0.02335498514942817,0.05251701345267229,1230584,-0.12628833151666585,0.0795783612178095,Contrast 2,COHORTunexposed,age_category18 to 39,t,1,1,0,bmi,age_category
0.21311428852936204,0.06500187932850575,1230584,0.08571060504549077,0.3405179720132333,Contrast 2,COHORThistorical,age_category40 to 64,t,1,1,0,bmi,age_category
0.303326005038837,0.053706052728192524,1230584,0.19806214169157965,0.40858986838609435,Contrast 2,COHORTexposed,age_category40 to 64,t,1,1,0,bmi,age_category
0.2654374123577345,0.04151606961317035,1230584,0.1840659159159206,0.3468089087995484,Contrast 2,COHORTunexposed,age_category40 to 64,t,1,1,0,bmi,age_category
0.24979958906598024,0.07762741094994667,1230584,0.09764986360408476,0.40194931452787575,Contrast 2,COHORThistorical,age_category65 plus,t,1,1,0,bmi,age_category
0.0953696911639571,0.06410222139005757,1230584,-0.030270662760555733,0.22101004508846994,Contrast 2,COHORTexposed,age_category65 plus,t,1,1,0,bmi,age_category
0.18425078818582652,0.04668891030408673,1230584,0.09274052398981654,0.2757610523818365,Contrast 2,COHORTunexposed,age_category65 plus,t,1,1,0,bmi,age_category
0.09367764118342477,0.014889194641032777,1230584,0.06449481968700052,0.12286046267984901,Contrast 2,COHORThistorical,age_category18 to 39,t,1,1,100,bmi,age_category
0.2648436916228622,0.04750363540735828,1230584,0.17173656622443997,0.3579508170212844,Contrast 2,COHORTexposed,age_category18 to 39,t,1,1,100,bmi,age_category
-0.04308988619526468,0.04087561677527493,1230584,-0.12320609507480354,0.037026322684274186,Contrast 2,COHORTunexposed,age_category18 to 39,t,1,1,100,bmi,age_category
0.14022938731245965,0.053958308767043967,1230584,0.03447110212905348,0.24598767249586584,Contrast 2,COHORThistorical,age_category40 to 64,t,1,1,100,bmi,age_category
0.27632571822466434,0.03897288896878546,1230584,0.19993885584584484,0.35271258060348387,Contrast 2,COHORTexposed,age_category40 to 64,t,1,1,100,bmi,age_category
0.20065463577428597,0.0326257519235148,1230584,0.13670816200419694,0.264601109544375,Contrast 2,COHORTunexposed,age_category40 to 64,t,1,1,100,bmi,age_category
0.14299878293813495,0.06779588828122762,1230584,0.0101188419069288,0.2758787239693411,Contrast 2,COHORThistorical,age_category65 plus,t,1,1,100,bmi,age_category
0.06369770417250396,0.04867612520496879,1230584,-0.031707501229234866,0.15910290957424278,Contrast 2,COHORTexposed,age_category65 plus,t,1,1,100,bmi,age_category
0.10510160234267366,0.03806965864377356,1230584,0.030485071400877473,0.17971813328446984,Contrast 2,COHORTunexposed,age_category65 plus,t,1,1,100,bmi,age_category
0,0,1177634,0,0,Contrast 2,COHORThistorical,raceeth_categoryHispanic,t,1,1,0,bmi,raceeth_category
