LAB_LOINC,RAW_LAB_NAME,n
,"POCT URINALYSIS DIPSTICK, AUTO W/O MICRO",163586
,RAPID COVID-19 ABBOTT IDNOW,12553
,URINALYSIS WITH CULTURE IF INDICATED,169009
,COVID-19 RT-PCR,13847
,ARTERIAL BLOOD GAS WITH CO-OXIMETRY UNSOLICITED RESULTS,114978
,AUTO DIFF SYSMEX,144057
,POCT URINE CHEMISTRY UNSOLICITED RESULTS,18873
94500-6,COVID-19 RT-PCR,16249
5792-7,URINALYSIS WITH CULTURE IF INDICATED,37043
50551-1,URINALYSIS WITH CULTURE IF INDICATED,37097
5802-4,URINALYSIS WITH CULTURE IF INDICATED,37443
5797-6,URINALYSIS WITH CULTURE IF INDICATED,37043
50563-6,URINALYSIS WITH CULTURE IF INDICATED,37040
58413-6,CBC WITH AUTO DIFFERENTIAL,123953
771-6,CBC WITH AUTO DIFFERENTIAL,123948
,"POCT PREGNANCY, URINE",5186
,POCT RAPID STREP A,947
42254-3,ANA,296
94759-8,RAPID COVID-19 ABBOTT IDNOW,22032
,"PREGNANCY, URINE",191
94500-6,SARS-COV-2 RT-PCR,10237
,SARS-COV-2 RT-PCR,6087
69002-4,IMAGE-GUIDED PAP W/AGE BASED SCR PROTOCOLS,866
704-7,CBC WITH AUTO DIFFERENTIAL,125032
,CHLAMYDIA/GC DNA PCR,2284
69002-4,THINPREP PAP AND HPV MRNA E6/E7,103
,HM CERVICAL HRHPV,122
,HM CERVICAL CYTOLOGY,207
43304-5,"SURESWAB(R), ADVANCED VAGINITIS PLUS",829
72391-6,"SURESWAB(R), ADVANCED VAGINITIS PLUS",820
72495-5,"SURESWAB(R), ADVANCED VAGINITIS PLUS",822
69563-5,"SURESWAB(R), ADVANCED VAGINITIS PLUS",824
,POCT URINE HCG QUALITATIVE UNSOLICITED RESULTS,715
43305-2,"SURESWAB(R), ADVANCED VAGINITIS PLUS",820
74669-3,"SURESWAB(R), ADVANCED VAGINITIS PLUS",829
74667-7,"SURESWAB(R), ADVANCED VAGINITIS PLUS",820
74762-6,"SURESWAB(R), ADVANCED VAGINITIS PLUS",820
46154-1,"SURESWAB(R), ADVANCED VAGINITIS PLUS",829
62460-1,"SURESWAB(R), ADVANCED VAGINITIS PLUS",829
5804-0,URINALYSIS WITH CULTURE IF INDICATED,37090
27297-1,URINALYSIS WITH CULTURE IF INDICATED,37042
53290-3,URINALYSIS WITH CULTURE IF INDICATED,37070
53115-2,CBC WITH DIFFERENTIAL,3398
71695-1,CBC WITH DIFFERENTIAL,3406
69002-4,"THINPREP PAP AND HPV MRNA E6/E7 REFLEX HPV 16,18/45",281
2106-3,"PREGNANCY, URINE",5889
43304-5,CHLAMYDIA/GC DNA PCR,4167
24111-7,CHLAMYDIA/GC DNA PCR,4167
6568-0,VAGINITIS PANEL,1670
6410-5,VAGINITIS PANEL,1670
47000-5,VAGINITIS PANEL,1670
59420-0,"IGP, APTIMA HPV, RFX 16/18,45",294
94500-6,SARS-COV-2/FLU/RSV,17190
92142-9,SARS-COV-2/FLU/RSV,17172
92141-1,SARS-COV-2/FLU/RSV,17173
92131-2,SARS-COV-2/FLU/RSV,17173
704-7,CBC WITH DIFFERENTIAL,16010
42931-6,CHLAMYDIA/N.GONORRHOEAE RNA TMA URINE,594
60256-5,CHLAMYDIA/N.GONORRHOEAE RNA TMA URINE,583
,"GROUP B STREPTOCOCCUS COLONIZATION DETECTION, NAA",793
,"RUBELLA ANTIBODY, IGG",1952
,HEPATITIS B SURFACE ANTIGEN,2652
,"HCG, SERUM, QUALITATIVE",682
5770-3,URINALYSIS WITH MICROSCOPIC LEGACY,360
2514-8,URINALYSIS WITH MICROSCOPIC LEGACY,359
5802-4,URINALYSIS WITH MICROSCOPIC LEGACY,363
25428-4,URINALYSIS WITH MICROSCOPIC LEGACY,265
5794-3,URINALYSIS WITH MICROSCOPIC LEGACY,359
20454-5,URINALYSIS WITH MICROSCOPIC LEGACY,359
,URINALYSIS WITH REFLEX MICROSCOPIC,35901
2118-8,"HCG, SERUM, QUALITATIVE",9785
53115-2,CBC WITH AUTO DIFFERENTIAL,120872
71695-1,CBC WITH AUTO DIFFERENTIAL,120868
711-2,CBC WITH AUTO DIFFERENTIAL,125031
5770-3,URINALYSIS WITH CULTURE IF INDICATED,397
2514-8,URINALYSIS WITH CULTURE IF INDICATED,397
5799-2,URINALYSIS WITH CULTURE IF INDICATED,399
5794-3,URINALYSIS WITH CULTURE IF INDICATED,397
