Estimate,SE,dfcom,LCI,UCI,term,exposure,modifier1,modifier2,exposure_value,modifier1_value,modifier2_value,outcome,modifier_var
0.035558268969329405,0.05236244504430871,1133362,-0.06707212331751566,0.1381886612561745,Contrast 2,COHORThistorical,sex_categoryMale,t,1,1,0,bmi,sex_category
0.07814927636741903,0.058252650557661656,1133362,-0.03602591872559781,0.19232447146043585,Contrast 2,COHORTexposed,sex_categoryMale,t,1,1,0,bmi,sex_category
0.1617105768317993,0.04428795222604191,1133362,0.07490619046875714,0.24851496319484145,Contrast 2,COHORTunexposed,sex_categoryMale,t,1,1,0,bmi,sex_category
0,0,1133362,0,0,Contrast 2,COHORThistorical,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.3469369746516653,0.04492789447714235,1133362,0.2588783014764663,0.4349956478268643,Contrast 2,COHORTexposed,sex_categoryFemale,t,1,1,0,bmi,sex_category
0.18160699940922637,0.03626513874041817,1133362,0.11052732747800677,0.252686671340446,Contrast 2,COHORTunexposed,sex_categoryFemale,t,1,1,0,bmi,sex_category
-0.013080845636752249,0.041862272705268114,1133362,-0.09513090013907774,0.06896920886557326,Contrast 2,COHORThistorical,sex_categoryMale,t,1,1,100,bmi,sex_category
0.10195458653251487,0.04115534664964578,1133362,0.021290107099209143,0.1826190659658206,Contrast 2,COHORTexposed,sex_categoryMale,t,1,1,100,bmi,sex_category
0.1159294117685504,0.03423482312980481,1133362,0.04882915843413298,0.1830296651029678,Contrast 2,COHORTunexposed,sex_categoryMale,t,1,1,100,bmi,sex_category
0.05247102073331759,0.009816256379348574,1133362,0.03323115822979438,0.0717108832368408,Contrast 2,COHORThistorical,sex_categoryFemale,t,1,1,100,bmi,sex_category
0.29288861563497615,0.03438537948027703,1133362,0.22549327185363316,0.36028395941631913,Contrast 2,COHORTexposed,sex_categoryFemale,t,1,1,100,bmi,sex_category
0.1136524952833353,0.02908463757238331,1133362,0.056646605641464017,0.1706583849252066,Contrast 2,COHORTunexposed,sex_categoryFemale,t,1,1,100,bmi,sex_category
0,0,1133356,0,0,Contrast 2,COHORThistorical,age_category18 to 39,t,1,1,0,bmi,age_category
0.31669793907247895,0.06446938704613386,1133356,0.19033794046205657,0.44305793768290136,Contrast 2,COHORTexposed,age_category18 to 39,t,1,1,0,bmi,age_category
-0.01916208852784752,0.05288290274274525,1133356,-0.1228125779036282,0.08448840084793316,Contrast 2,COHORTunexposed,age_category18 to 39,t,1,1,0,bmi,age_category
0.20855047844316735,0.06593257354406228,1133356,0.07932263429680528,0.33777832258952944,Contrast 2,COHORThistorical,age_category40 to 64,t,1,1,0,bmi,age_category
0.26629049211771844,0.054417348101130615,1133356,0.15963248983950243,0.37294849439593447,Contrast 2,COHORTexposed,age_category40 to 64,t,1,1,0,bmi,age_category
0.25200067787602515,0.04338217473500584,1133356,0.1669716153954137,0.3370297403566366,Contrast 2,COHORTunexposed,age_category40 to 64,t,1,1,0,bmi,age_category
0.22055478321476132,0.07906679907924387,1133356,0.06558385701944333,0.37552570941007934,Contrast 2,COHORThistorical,age_category65 plus,t,1,1,0,bmi,age_category
0.11619857324802099,0.06717956350142706,1133356,-0.015473371214776044,0.24787051771081803,Contrast 2,COHORTexposed,age_category65 plus,t,1,1,0,bmi,age_category
0.20863884225770343,0.048452440188216095,1133356,0.1136720594887999,0.303605625026607,Contrast 2,COHORTunexposed,age_category65 plus,t,1,1,0,bmi,age_category
0.09683760273511395,0.0149903212154301,1133356,0.06745657315287096,0.12621863231735694,Contrast 2,COHORThistorical,age_category18 to 39,t,1,1,100,bmi,age_category
0.2727010002281849,0.04784165811377865,1133356,0.17893135032517873,0.36647065013119107,Contrast 2,COHORTexposed,age_category18 to 39,t,1,1,100,bmi,age_category
-0.038879071946008356,0.0412541809161699,1133356,-0.11973726654170136,0.04197912264968465,Contrast 2,COHORTunexposed,age_category18 to 39,t,1,1,100,bmi,age_category
0.13492572574040199,0.054576702728105234,1133356,0.027955388393315725,0.24189606308748823,Contrast 2,COHORThistorical,age_category40 to 64,t,1,1,100,bmi,age_category
0.2565347286530608,0.04010698278796013,1133356,0.17792504238865897,0.33514441491746266,Contrast 2,COHORTexposed,age_category40 to 64,t,1,1,100,bmi,age_category
0.1955860737145537,0.03388633160807524,1133356,0.12916886376272624,0.26200328366638115,Contrast 2,COHORTunexposed,age_category40 to 64,t,1,1,100,bmi,age_category
0.11209921033826921,0.06886289196997952,1133356,-0.02287205792289064,0.24707047859942904,Contrast 2,COHORThistorical,age_category65 plus,t,1,1,100,bmi,age_category
0.08780560992810563,0.05050761903421731,1133356,-0.011189323378960309,0.18680054323517156,Contrast 2,COHORTexposed,age_category65 plus,t,1,1,100,bmi,age_category
0.13332196193033233,0.03900845350073151,1133356,0.05686539306889857,0.2097785307917661,Contrast 2,COHORTunexposed,age_category65 plus,t,1,1,100,bmi,age_category
0,0,1084096,0,0,Contrast 2,COHORThistorical,raceeth_categoryHispanic,t,1,1,0,bmi,raceeth_category
0.013583884534721823,0.07660819656107119,1084096,-0.13656818072497773,0.16373594979442135,Contrast 2,COHORTexposed,raceeth_categoryHispanic,t,1,1,0,bmi,raceeth_category
-0.06324389354677935,0.06528932227357775,1084096,-0.19121096520299175,0.06472317810943305,Contrast 2,COHORTunexposed,raceeth_categoryHispanic,t,1,1,0,bmi,raceeth_category
